Ch1,Ch2
-114,23
-241,3
-285,-29
-109,44
-50,12
77,20
197,67
101,118
120,99
57,-29
184,-25
61,-76
-69,-117
49,-88
-28,-64
-123,20
-58,-40
-34,-19
-32,33
-25,0
-110,16
-104,-32
-44,67
-110,95
-82,98
-73,45
-111,-45
-63,5
41,-44
160,-61
128,-44
226,61
30,75
-42,-46
81,-2
68,-34
-78,-128
-12,-92
-110,-108
-319,-82
-128,-26
-83,11
21,130
22,150
37,99
59,-33
-43,-70
-26,-15
-26,-47
-62,-112
-21,-33
-220,-25
-92,-12
120,52
193,18
312,36
83,-105
-83,-90
-243,-78
-261,-85
-169,-10
-108,-61
94,-47
161,124
202,93
362,27
430,47
124,73
-130,-28
-278,-147
-430,-62
-443,-13
-346,-10
81,57
245,119
279,90
283,90
187,56
240,11
99,8
-107,-40
-223,-95
-233,-78
-182,-86
-257,-95
-77,-187
23,-150
-37,-5
171,-9
236,34
261,53
234,145
252,167
57,19
-203,-40
-406,-95
-572,-174
-324,-80
-204,-117
38,39
188,49
373,87
575,223
393,106
182,71
6,-93
-177,-117
-286,-24
-328,-102
-136,-74
38,-64
38,-33
74,45
67,-29
72,-20
-49,-60
-87,-53
57,109
97,145
-137,157
-77,100
-104,-11
-98,-66
44,-96
-32,-143
53,-107
100,-4
202,157
267,123
241,87
212,43
-113,-105
-259,-165
-238,-270
-297,-175
-294,-52
-265,-23
77,98
-21,85
64,177
235,216
206,89
230,87
-30,-90
-109,8
-24,75
-40,-47
-126,18
-208,-64
-84,-30
-17,-70
38,-29
131,37
69,-41
62,39
-52,66
-194,-10
-145,-82
34,23
-100,48
141,17
179,18
225,31
99,-29
-103,-29
-25,-25
-297,4
-227,10
-176,55
-60,72
156,14
155,80
141,5
99,49
-40,6
-143,-65
-278,-115
-5,-91
-50,-36
57,20
146,-50
188,-46
195,17
-29,7
-108,-86
-187,-65
52,64
-61,-7
-44,36
-17,81
-84,36
5,-9
87,84
62,103
-1,-9
0,-20
133,45
102,-51
229,7
114,90
-131,3
-104,-97
-199,-176
-234,-111
-141,-78
187,-9
215,109
215,29
205,136
319,239
264,58
121,120
-1,39
-371,-50
-462,-178
-368,-131
-214,-18
38,-47
11,-2
99,50
197,-36
299,0
242,131
-105,10
99,-6
-169,-135
-127,-68
-45,-72
4,-30
199,88
268,56
303,106
36,103
55,57
130,129
64,167
-40,63
-157,-36
-249,-92
-193,-111
-212,-164
-12,-114
-3,-105
-4,-57
46,-88
73,64
88,109
285,118
112,149
46,116
-58,50
-332,-208
-199,-183
-291,-78
-67,-45
7,-10
114,154
291,96
425,158
308,44
163,96
-92,-9
-134,-63
-429,-127
-325,-123
-5,-54
-2,-49
56,20
80,-25
119,84
-59,-83
-13,122
-144,20
83,72
-56,67
194,36
101,116
-45,59
118,-12
24,6
-91,-64
-68,20
-41,-50
-97,-103
-62,94
-188,-116
-180,58
-244,46
161,142
253,-16
300,-16
376,22
400,5
18,-50
-30,115
-301,-11
-327,-118
-267,-10
-346,15
132,28
81,-172
244,46
61,16
38,81
48,71
-110,91
-64,4
121,6
-155,-92
-8,-75
-160,-168
-138,-21
-69,15
-91,-18
78,62
127,30
244,171
181,-35
186,34
-34,-82
-138,-52
-533,-62
-264,-44
-197,-143
-8,-53
242,42
377,117
402,6
424,177
212,155
-169,-37
-259,55
-369,-62
-299,-92
-387,-339
-112,-27
-57,-1
112,-6
117,68
154,57
13,47
166,75
-56,-26
-32,8
185,-4
5,-128
145,-56
-35,-98
20,51
-101,-145
-144,-16
47,48
-20,-50
-14,3
144,85
-173,54
61,41
124,44
80,70
38,-97
8,-30
-93,-24
-194,-184
-42,9
-116,-79
-54,68
-22,-6
111,168
58,142
120,-38
94,34
147,-52
25,-225
10,-85
-155,-121
-105,-3
-6,10
-86,61
29,187
-27,-155
15,129
-79,-14
-7,-65
178,45
37,24
45,9
294,47
-18,-62
-178,-95
-485,-249
-321,-31
-183,-2
-46,-46
401,223
249,74
378,250
574,165
247,43
-8,-96
-365,-158
-387,-86
-280,-3
-569,-58
130,207
154,134
211,23
382,-8
99,78
115,84
67,-94
32,3
108,-98
-125,-83
-187,-184
-152,46
-301,66
30,-94
-186,-43
-72,86
212,84
403,175
506,67
262,186
-54,44
-56,33
-335,-6
-255,-149
-77,69
-250,-76
-83,-186
54,-171
202,-29
-33,15
-33,115
187,47
28,177
-351,-123
-19,-36
-140,17
-23,-119
175,-85
-21,-84
-95,1
-2,5
156,42
206,103
128,102
-13,-39
-22,75
-409,-118
-93,1
-301,-136
-327,-111
2,-60
120,-39
427,136
381,117
323,190
397,78
-33,36
-136,-31
-239,-41
-416,-65
-206,-18
-198,-117
201,-160
141,-44
35,140
161,75
171,64
-91,45
-71,101
-225,61
-111,-67
0,82
30,-44
-5,-48
-208,-178
25,-154
76,-59
90,26
136,31
114,142
-11,79
131,74
-150,-24
-16,-55
-55,89
-176,-92
-43,-62
56,-87
-39,-57
156,-43
309,36
114,50
46,98
-264,-95
-143,50
-53,78
-3,-1
-120,-121
-370,-238
-216,21
109,-117
27,-72
324,76
132,100
241,77
144,65
-156,-22
-91,53
-285,-65
-176,58
-70,-83
92,-82
52,57
135,35
145,37
287,-39
-47,113
-105,74
7,-9
168,120
324,111
88,-136
-4,-62
-62,-24
-136,93
-53,-100
-54,98
-80,85
104,0
91,182
253,-8
78,-24
-58,67
-311,116
-186,-112
-271,-205
-186,11
104,87
252,-90
397,225
151,171
15,88
-81,-70
-100,-56
-112,103
-109,-156
-220,-74
67,71
-142,-13
317,29
81,121
-33,180
214,31
-99,-143
85,-2
-56,-235
-96,-130
-123,73
-239,-98
-186,-64
